rep,fold,seed,arm,n_test,auc,ap,acc,f1,rely_img,rely_tab,auc_img_shuf,auc_tab_shuf,best_epoch,epochs_run
3,1,0,tab,46,0.6216216216216217,0.8594415373076407,0.717391304347826,0.8115942028985508,,,,,1,16
3,1,1,tab,46,0.6666666666666667,0.8436835287103229,0.6956521739130435,0.8,,,,,2,17
3,1,2,tab,46,0.6846846846846848,0.8624539882636217,0.717391304347826,0.8115942028985508,,,,,2,17
3,2,0,concat,46,0.6936936936936937,0.8614857941135612,0.8478260869565217,0.9066666666666666,0.015015015015015,-0.048048048048048,0.6786786786786787,0.7417417417417418,8,23
3,2,1,concat,46,0.6861861861861862,0.8570148454320861,0.8913043478260869,0.935064935064935,0.0135135135135134,-0.0435435435435436,0.6726726726726727,0.7297297297297298,12,27
3,2,2,concat,46,0.6936936936936937,0.861987768833991,0.8478260869565217,0.9066666666666666,0.0,0.0210210210210209,0.6936936936936937,0.6726726726726727,6,21
3,2,0,concat_wide,46,0.6726726726726727,0.8542445541794553,0.782608695652174,0.8648648648648649,-0.0030030030030029,-0.066066066066066,0.6756756756756757,0.7387387387387387,4,19
3,2,1,concat_wide,46,0.6771771771771773,0.8439004072824695,0.8260869565217391,0.8947368421052632,0.0315315315315316,-0.0045045045045044,0.6456456456456456,0.6816816816816818,3,18
3,2,2,concat_wide,46,0.6666666666666667,0.8536624598756788,0.8260869565217391,0.8947368421052632,-0.0135135135135134,-0.1381381381381381,0.6801801801801802,0.8048048048048049,27,42
3,2,0,cross,46,0.7537537537537538,0.9298470059118782,0.8260869565217391,0.8947368421052632,0.024024024024024,0.072072072072072,0.7297297297297297,0.6816816816816818,19,34
3,2,1,cross,46,0.6171171171171171,0.8291053616496856,0.717391304347826,0.8169014084507042,0.0075075075075075,0.0045045045045045,0.6096096096096096,0.6126126126126126,24,39
3,2,2,cross,46,0.6216216216216217,0.8265778923622835,0.6086956521739131,0.71875,0.03003003003003,-0.0840840840840839,0.5915915915915917,0.7057057057057057,1,16
3,2,0,cross_a2b,46,0.7357357357357357,0.9241899463411616,0.7391304347826086,0.8333333333333334,0.0240240240240239,0.0180180180180179,0.7117117117117118,0.7177177177177178,3,18
3,2,1,cross_a2b,46,0.6741741741741742,0.8427193176399942,0.8260869565217391,0.8947368421052632,0.009009009009009,0.0285285285285286,0.6651651651651652,0.6456456456456456,16,31
3,2,2,cross_a2b,46,0.6936936936936937,0.8959608742114065,0.8260869565217391,0.8918918918918919,0.0210210210210209,0.0030030030030029,0.6726726726726727,0.6906906906906908,2,17
3,2,0,img,46,0.7057057057057057,0.8973831046867071,0.8478260869565217,0.9135802469135802,,,,,12,27
3,2,1,img,46,0.8108108108108107,0.9252232113487412,0.782608695652174,0.8529411764705882,,,,,7,22
3,2,2,img,46,0.7897897897897899,0.9291092202675976,0.782608695652174,0.868421052631579,,,,,18,33
3,2,0,tab,46,0.6561561561561562,0.8363223321391423,0.8478260869565217,0.9066666666666666,,,,,3,18
3,2,1,tab,46,0.6516516516516517,0.8235720119767407,0.8478260869565217,0.9066666666666666,,,,,3,18
3,2,2,tab,46,0.6576576576576577,0.8463092620920394,0.8043478260869565,0.8767123287671232,,,,,3,18
3,3,0,concat,46,0.8078078078078079,0.9488902502801724,0.8260869565217391,0.8918918918918919,0.0600600600600601,0.1351351351351353,0.7477477477477478,0.6726726726726726,2,17
3,3,1,concat,46,0.7717717717717718,0.9281200805647858,0.782608695652174,0.8648648648648649,0.027027027027027,0.0930930930930931,0.7447447447447447,0.6786786786786787,2,17
